,,,,,,,,,,,,,,,Regressed based on evaluation data,,,,Regressed based on evaluation mixed vector,,,Loss,,
,rep_dt,draft_mean,trim,rpm,w_dir_rel,swell_dir_rel,amb_temp,cpress,w_force,speed_stw_calc,pwr,app_slip,main_fuel_per_dst,speed_stw_calc_pred,pwr_pred,app_slip_pred,main_fuel_per_dst_pred,pwr_pred_x,speed_stw_calc_second_pred,app_slip_second_pred,main_fuel_per_dst_second_pred,speed_stw_calc_loss,app_slip_loss,main_fuel_per_dst_loss
18,13-07-2015 12:00,10.25,0.16,110.73,-0.391304348,113.1014493,31,1017,3.985507246,12.47083333,4951,9.67,0.073838958,12.38945403,4832.024459,10.8915493,0.070041898,4832.024459,12.38833313,10.86307083,0.06994628,-0.009047171,-0.261473118,-0.136514828
19,14-07-2015 12:00,10.25,0.16,112.73,-0.391304348,113.1014493,30,1020,3.985507246,12.95416667,4939,7.83,0.070762303,12.53260999,5020.549165,11.42219018,0.072264592,5020.549165,12.53063321,11.39377693,0.072100493,-0.015773049,-0.24875483,-0.227080572
20,15-07-2015 12:00,10.25,0.16,114.56,-0.391304348,113.1014493,32,1020,3.985507246,12.825,5031,10.21,0.072774529,12.75584307,5164.309661,11.51207391,0.074053169,5164.309661,12.75154277,11.48325865,0.073870834,-0.033712411,-0.2503047,-0.246222142
21,16-07-2015 12:00,10.24,0.08,113.96,-0.391304348,113.1014493,30,1020,3.985507246,13.2875,4610,6.48,0.065537786,12.64822632,5143.103166,11.69002949,0.073779611,5143.103166,12.64606311,11.66152582,0.073585332,-0.017102892,-0.243828943,-0.263322477
22,17-07-2015 12:00,10.23,0.02,105.35,-0.391304348,113.1014493,18,1022,3.985507246,11.58333333,3630,11.81,0,11.5221673,4501.948774,11.63708702,0.065733567,4501.948774,11.53281336,11.61087821,0.06558728,0.092396377,-0.225217993,-0.222544811
23,18-07-2015 12:00,10.23,0.02,101.91,-0.391304348,113.1014493,18,1013,3.985507246,11.625,3326,8.5,0,11.22105755,4194.486239,10.96112205,0.062055148,4194.486239,11.23409817,10.93501371,0.06200118,0.11621565,-0.238190442,-0.086967083
24,03-08-2015 12:00,9.505,0.59,107.85,-0.391304348,113.1014493,19,1022,3.985507246,12.5,3712,5.87,0,11.73679825,4678.689438,11.81406026,0.067329788,4678.689438,11.74401134,11.7916601,0.067055045,0.061457034,-0.189605952,-0.408056757
25,04-08-2015 12:00,9.505,0.59,107.85,-0.391304348,113.1014493,20,1019,3.985507246,12.26666667,3998,5.87,0.006861413,11.76827293,4668.770699,11.67956765,0.067245654,4668.770699,11.77496268,11.65698657,0.06698643,0.056845654,-0.193338314,-0.385487531
26,05-08-2015 12:00,9.505,0.59,117.42,-0.391304348,113.1014493,16,1021,3.985507246,13.22916667,5514,9.63,0.074015748,12.47715398,5562.786015,14.11911871,0.077815089,5562.786015,12.47936231,14.09659824,0.077241728,0.017699036,-0.15950341,-0.73682499
27,06-08-2015 12:00,9.505,0.59,117.53,-0.391304348,113.1014493,16,1021,3.985507246,13.56521739,5598,7.43,0.073717949,12.48675866,5572.609343,14.14090687,0.07793271,5572.609343,12.48889114,14.11838003,0.077356436,0.017077924,-0.159302647,-0.739450592
28,07-08-2015 12:00,9.505,0.59,117.53,-0.391304348,113.1014493,24,1025,3.985507246,13.80833333,5660,7.43,0.073325287,12.74087402,5494.069167,13.0481347,0.077259936,5494.069167,12.73875041,13.02446704,0.076804009,-0.01666774,-0.181387302,-0.590120617
29,08-08-2015 12:00,9.3,0.5,118.8,-0.391304348,113.1014493,24,1030,3.985507246,13.43478261,5758,9.33,0.07605178,12.86706367,5635.04015,13.32162205,0.078947566,5635.04015,12.86565701,13.29887853,0.07844534,-0.010932238,-0.170726317,-0.636152347
30,09-08-2015 12:00,9.3,0.5,118.8,-0.391304348,113.1014493,23,1028,3.985507246,12.91304348,5753,9.33,0.08013468,12.83517507,5644.814293,13.45912024,0.079031647,5644.814293,12.83430414,13.43650291,0.078514581,-0.006785479,-0.16804466,-0.654251653
31,10-08-2015 12:00,9.3,0.5,118.8,-0.391304348,113.1014493,21,1022,3.985507246,11.85652174,5584,9.33,0.083975064,12.77123231,5664.304742,13.73531887,0.079199786,5664.304742,12.7714378,13.712932,0.078653315,0.001609001,-0.16298758,-0.689991185
32,11-08-2015 12:00,9.3,0.5,118.8,-0.391304348,113.1014493,23,1014,3.985507246,10.47826087,5236,9.33,0.089211618,12.83401609,5644.409425,13.46753587,0.079031496,5644.409425,12.83317987,13.44476527,0.078516337,-0.0065157,-0.169077654,-0.651839911
33,12-08-2015 12:00,9.3,0.5,118.8,-0.391304348,113.1014493,25,1022,3.985507246,12.44782609,5697,9.33,0.081732448,12.89812442,5624.976815,13.19013501,0.078863378,5624.976815,12.89620682,13.16715585,0.078377352,-0.014867284,-0.174214808,-0.616288052
34,13-08-2015 12:00,9.2,0.52,118.8,-0.391304348,113.1014493,24,1020,3.985507246,12.95,5730,9.33,0.078828829,12.86716466,5638.509453,13.32036686,0.078952955,5638.509453,12.86607266,13.29802897,0.078443727,-0.008486747,-0.16769723,-0.644976883
35,14-08-2015 12:00,9.2,0.52,119.27,-0.391304348,113.1014493,25,1021,3.985507246,13.3875,5791,9.97,0.075319016,12.94000868,5670.678793,13.27656462,0.079371425,5670.678793,12.93805931,13.25406242,0.078864726,-0.015064678,-0.169488146,-0.638389569
36,15-08-2015 12:00,9.2,0.52,119.27,-0.391304348,113.1014493,26,1020,3.985507246,13.69583333,5715,9.97,0.073014907,12.97164892,5660.817892,13.14086977,0.079287312,5660.817892,12.96917126,13.11820854,0.078795861,-0.019100613,-0.172448453,-0.619835856
37,16-08-2015 12:00,9.2,0.52,120.31,-0.391304348,113.1014493,27,1014,3.985507246,13.77916667,5787,8.14,0.072573329,13.09368317,5743.687498,13.2141776,0.080315196,5743.687498,13.08997242,13.19124245,0.079812134,-0.028340055,-0.173564694,-0.626359911
38,17-08-2015 12:00,9.2,0.52,119.51,-0.391304348,113.1014493,28,1009,3.985507246,13.16086957,5751,9.67,0.075982821,13.05514003,5662.268534,12.92242791,0.079375617,5662.268534,13.05146258,12.89933623,0.078909531,-0.028168595,-0.178694605,-0.58718935
39,01-09-2015 12:00,9.54,0.08,112.21,-0.391304348,113.1014493,27,1020,3.985507246,12.97487437,4480,7.25,0.06622773,12.42063028,5063.688932,11.74399473,0.072539347,5063.688932,12.42437565,11.71952137,0.072293041,0.03015441,-0.208390436,-0.339548496
40,03-09-2015 12:00,9.5,0.16,113.29,-0.391304348,113.1014493,28,1011,3.985507246,12.47482014,4800,11.68,0.071510957,12.53914565,5140.716143,11.80222839,0.073437213,5140.716143,12.5411981,11.77771415,0.073172465,0.016368345,-0.207708619,-0.360508861
41,04-09-2015 12:00,9.53,0.06,114.42,-0.391304348,113.1014493,32,1017,3.985507246,13.5,4925,5.37,0.067555556,12.77423684,5215.487229,11.50802527,0.074535921,5215.487229,12.77401051,11.48268337,0.074307088,-0.001771782,-0.220210733,-0.307009717
42,05-09-2015 12:00,9.45,0.1,114.49,-0.391304348,113.1014493,26,1016,3.985507246,12.9375,5001,9.36,0.070531401,12.58829281,5280.097819,12.3271563,0.075061451,5280.097819,12.591252,12.30312065,0.074732596,0.02350752,-0.194981292,-0.438113859
43,06-09-2015 12:00,9.45,0.1,114.97,-0.391304348,113.1014493,28,1015,3.985507246,12.412,5124,13.4,0.075410893,12.69356743,5303.270369,12.15024107,0.07540649,5303.270369,12.69513655,12.12587056,0.075095284,0.012361516,-0.200576389,-0.412704649
44,07-09-2015 12:00,9.385,0.15,114.47,-0.391304348,113.1014493,27,1014,3.985507246,13.05833333,5052,8.51,0.070516911,12.61504127,5265.298951,12.1721269,0.074869606,5265.298951,12.61739133,12.14828919,0.074549772,0.018629012,-0.195838477,-0.427188052
45,05-10-2015 12:00,9.505,0.59,116.45,-0.391304348,113.1014493,28,1015,3.985507246,13.69230769,5188,5.69,0.069020867,12.77263775,5358.004827,12.29504194,0.075768598,5358.004827,12.76916061,12.27073498,0.075403078,-0.027223367,-0.197697263,-0.48241578
46,06-10-2015 12:00,5.21,0.78,116.45,-0.391304348,113.1014493,28,1015,3.985507246,14.4625,5356,5.69,0.065975223,12.87882438,5620.07166,12.18638327,0.077630317,5620.07166,12.8929597,12.18362238,0.076931913,0.109756283,-0.02265552,-0.899653183
47,07-10-2015 12:00,5.21,0.78,116.89,-0.391304348,113.1014493,28,1015,3.985507246,162.5,5356,3.04,0.072923077,12.91724312,5659.364973,12.27353589,0.0781008,5659.364973,12.93107501,12.27074955,0.077390745,0.107080832,-0.022702025,-0.909152104
48,08-10-2015 12:00,5.21,0.78,116.85,-0.391304348,113.1014493,28,1015,3.985507246,14.56521739,5435,0,0.067164179,12.9137505,5655.792853,12.26561293,0.078058029,5655.792853,12.92760998,12.2628289,0.077349033,0.107323397,-0.022697824,-0.908293297
49,09-10-2015 12:00,4.96,0.92,112.34,-0.391304348,113.1014493,26,1012,3.985507246,12.91111111,4657,7.97,0.067125645,12.44966775,5268.470898,11.60116056,0.073198796,5268.470898,12.46773648,11.60026617,0.072554962,0.145134215,-0.007709451,-0.879570407
