,alpha,ucl,diff,,,
0,0.5,4.369042204,0,,,
1,0.51,4.440733459,0.07169125482,,,
2,0.52,4.513215719,0.1441735152,,,
3,0.53,4.586538224,0.2174960205,,,
4,0.54,4.660752466,0.2917102621,,,
5,0.55,4.735912438,0.3668702345,,,
6,0.56,4.812074914,0.4430327097,,,
7,0.57,4.889299742,0.5202575381,,centre,4.369042204
8,0.58,4.967650184,0.5986079802,,,
9,0.59,5.047193278,0.6781510738,,,
10,0.6,5.128000247,0.7589580427,,,
11,0.61,5.210146957,0.841104753,,,
12,0.62,5.293714429,0.9246722247,,,
13,0.63,5.378789412,1.009747208,,,
14,0.64,5.465465039,1.096422835,,,
15,0.65,5.553841562,1.184799358,,,
16,0.66,5.644027197,1.274984993,,,
17,0.67,5.736139087,1.367096883,,,
18,0.68,5.830304415,1.461262211,,,
19,0.69,5.926661677,1.557619473,,,
20,0.7,6.025362174,1.65631997,,,
21,0.71,6.126571743,1.757529539,,,
22,0.72,6.230472785,1.861430581,,,
23,0.73,6.337266661,1.968224457,,,
24,0.74,6.447176529,2.078134325,,,
25,0.75,6.560450727,2.191408523,,,
26,0.76,6.67736684,2.308324636,,,
27,0.77,6.798236618,2.429194414,,,
28,0.78,6.923411968,2.554369764,,,
29,0.79,7.053292331,2.684250127,,,
30,0.8,7.188333821,2.819291617,,,
31,0.81,7.329060686,2.960018482,,,
32,0.82,7.476079824,3.10703762,,,
33,0.83,7.630099395,3.261057191,,,
34,0.84,7.79195301,3.422910806,,,
35,0.85,7.962631615,3.593589411,,,
36,0.86,8.143326258,3.774284054,,,
37,0.87,8.33548651,3.966444306,,,
38,0.88,8.540901986,4.171859782,,,
39,0.89,8.761818953,4.392776749,,,
40,0.9,9.00111189,4.632069686,,,
41,0.91,9.262544493,4.893502289,,,
42,0.92,9.551182899,5.182140695,,,
43,0.93,9.874082342,5.505040138,,,
44,0.94,10.24149902,5.872456812,,,
45,0.95,10.66920026,6.30015806,,,
46,0.96,11.18334513,6.814302923,,,
47,0.97,11.83240392,7.463361721,,,
48,0.98,12.72358923,8.354547031,,,
