,plsscore1,plsscore2,pwr,pred_pwr,diff,square_diff,t_2,rep_dt
0,3.096783899395541,2.077450476145613,11273,11856.6168174511,583.6168174511004,340608.589611751,3.5803540893797665,2016-07-16 12:00:00+00:00
1,3.8765173528401324,2.7345968495868727,12734,12901.313772423448,167.31377242344752,27993.898442565187,4.045852837749678,2016-07-17 12:00:00+00:00
2,-0.9377469708555513,0.5618041534572269,7655,7521.384627712479,-133.6153722875206,17853.067711532723,0.9824990820469005,2016-09-01 12:00:00+00:00
3,-0.8271178208375448,-1.2598181306862997,7056,6582.132090439996,-473.8679095600037,224550.79571076782,2.037181338760941,2016-09-11 12:00:00+00:00
4,2.4757824181954953,0.5087348302163768,10628,10430.92450305642,-197.07549694358022,38838.751495559096,1.9420809248633069,2016-09-12 12:00:00+00:00
5,2.1615196063612205,0.21262762807755353,10182,9992.122831556306,-189.87716844369425,36053.339096195035,1.6616304221418803,2016-09-13 12:00:00+00:00
6,-0.18904218830303135,-1.1154146275305714,7200,7213.6417097333715,13.6417097333715,186.0962444495627,1.1933484203693994,2016-09-14 12:00:00+00:00
7,-0.03967559988554916,-1.2929033218695811,7061,7241.475604237005,180.47560423700543,32571.44372471221,1.4760857191088692,2016-09-15 12:00:00+00:00
8,0.15132140985199433,-1.1834757588968152,7408,7468.104709252048,60.10470925204845,3612.5760742732787,1.2746636943006247,2016-09-16 12:00:00+00:00
9,0.02061932359542512,-1.3285482927383532,7011,7273.157384148348,262.1573841483478,68726.49406350439,1.6146874031446556,2016-09-17 12:00:00+00:00
10,0.28928747167934826,-1.6499729504945362,7135,7321.988698566541,186.98869856654073,34964.77339160863,1.8515276636000066,2016-09-18 12:00:00+00:00
11,0.10027079181140225,-1.5353462114421954,7011,7224.308579580163,213.3085795801626,45500.55012250655,1.7529187232343362,2016-09-19 12:00:00+00:00
12,0.21302108483499932,-1.1663952914996012,7333,7530.939749661005,197.9397496610054,39180.14449586149,1.3817429496788427,2016-09-20 12:00:00+00:00
13,-0.0015159415076506416,-1.2773655426702792,6986,7283.162232547623,297.1622325476228,88305.39245268746,1.6222392033036963,2016-09-21 12:00:00+00:00
14,-1.8280082021699269,-0.18668054502763692,7432,6329.63055487427,-1102.3694451257297,1215218.3935468092,3.552546328768108,2016-09-26 12:00:00+00:00
15,-1.277683064600279,-0.200891398128244,7284,6795.491505343301,-488.50849465669944,238640.54935175454,1.7363932855230462,2016-09-27 12:00:00+00:00
16,-1.1613579485303174,0.133235886175325,7432,7085.424430340441,-346.5755696595588,120114.62548484771,1.3356663451847983,2016-09-28 12:00:00+00:00
17,-0.928450553345569,0.329526361359078,7507,7397.4767675399735,-109.52323246002652,11995.338448493007,0.818756558141595,2016-09-29 12:00:00+00:00
18,-1.2096889672221696,0.331511166817631,7110,7156.405796552427,46.40579655242709,2153.497953665254,0.9439516831473531,2016-09-30 12:00:00+00:00
19,-1.0675295084335295,-0.0616139166477671,7160,7055.570115862662,-104.42988413733838,10905.600700937917,0.8271582832609237,2016-10-01 12:00:00+00:00
20,-1.039841046694796,0.23564830801032688,7160,7248.234345401067,88.234345401067,7785.299708354793,0.8275517511557151,2016-10-02 12:00:00+00:00
21,-0.44860162466202985,0.6640970668695116,8101,8000.722599202391,-100.2774007976086,10055.557110724236,0.8309943403113251,2016-10-03 12:00:00+00:00
22,-1.1432732468217583,0.07863938871275192,7036,7069.99258477248,33.99258477247986,1155.4958195142297,0.8277729048060297,2016-10-04 12:00:00+00:00
23,-1.0932026135661854,-0.2578457397079507,7110,6922.018051490726,-187.98194850927393,35337.212965343315,1.0009496286528254,2016-10-05 12:00:00+00:00
24,-0.9966545741206563,0.09745019065664477,7482,7206.941232896821,-275.058767103179,75657.32536032086,1.0932820622391939,2016-10-06 12:00:00+00:00
25,-1.3127025917400053,0.483700857634187,7432,7154.122700987133,-277.8772990128673,77215.79330668646,1.354805173332328,2016-10-07 12:00:00+00:00
26,-1.3468545275086545,0.4742774569186948,7309,7119.3599020079455,-189.6400979920545,35963.36676643603,1.2258036078190664,2016-10-08 12:00:00+00:00
27,-1.417853230088798,1.105950880265687,7829,7416.953047097115,-412.0469529028851,169782.6913965524,1.98163294604877,2016-10-09 12:00:00+00:00
28,-1.0147081743961448,0.6937722543692351,7829,7530.053351551458,-298.94664844854196,89369.09861861613,1.3671195289019762,2016-10-10 12:00:00+00:00
29,-1.3919286649177138,0.49024854332604856,7309,7089.61295469327,-219.38704530673022,48130.675648417295,1.3007431220082235,2016-10-11 12:00:00+00:00
30,-1.1488948612466714,0.6950733869960523,7309,7415.232784814522,106.23278481452235,11285.40456944861,1.149223625738218,2016-10-12 12:00:00+00:00
31,-0.03961697624061665,-1.1153899031815768,7036,7342.338431184304,306.3384311843038,93843.23442046042,1.498199538122637,2016-10-18 12:00:00+00:00
32,0.07242907404031763,-1.1955543148287586,7036,7393.304270547745,357.30427054774464,127666.3417516559,1.660785790843701,2016-10-19 12:00:00+00:00
33,0.15734807175841312,-1.193823980282081,7383,7467.417878263128,84.41787826312793,7126.378170448287,1.2980462835505842,2016-10-20 12:00:00+00:00
34,0.16330991891201463,-0.4368568675411228,8077,7902.444287846226,-174.55571215377404,30469.696645511216,0.708278038316279,2016-10-21 12:00:00+00:00
35,1.5425267547451784,0.7255241202861465,9588,9750.336823784332,162.3368237843315,26353.244356385097,1.4302835204362891,2016-10-22 12:00:00+00:00
36,1.1467208990989144,-0.6018739453951945,8696,8655.627109599161,-40.372890400838514,1629.9702793181186,1.0465888628090148,2016-10-23 12:00:00+00:00
