,Unnamed: 0,cpress,w_force,speed_ship_sog,rpm,pwr,pred,square_diff
51,51,1014,4,10.5,65.0,6650,7173.737293551079,274300.75265620946
52,52,1013,4,10.5,65.28,6825,7241.75234860724,173682.52006965014
53,53,1013,4,10.5,65.14,6825,7213.578979966552,150993.62367184582
54,54,1013,4,10.5,65.0,6825,7185.436243462133,129914.2856010937
55,55,1014,4,10.5,63.82,6300,6938.101698868561,407173.7780989431
56,56,1013,4,10.5,66.82,6825,7553.680193761527,530974.824780337
57,57,1013,4,10.5,64.93,6825,7171.376363272786,119976.58503408098
58,58,1013,4,10.5,65.27,6825,7239.738949340313,172008.39609990706
59,59,1013,4,10.5,64.72,6825,7129.242679805084,92563.60821497871
60,60,1013,3,10.5,65.5,7000,7029.332208953298,860.3784820799116
61,61,1012,3,10.5,62.2,6525,6382.853817626286,20205.537163421046
62,62,1011,3,10.5,62.1,6600,6373.821052604919,51156.916244746906
63,63,1015,5,10.5,64.5,7800,7319.949302976783,230448.67171247673
64,64,1015,3,10.5,64.6,6900,6825.811552549848,5503.925735063984
65,65,1014,4,10.5,64.8,7025,7133.646122189182,11803.979866746726
66,66,1011,3,10.5,65.1,7045,6971.804191415343,5357.626394361783
67,67,1010,3,10.5,63.4,6700,6642.263284586738,3333.5283067119667
68,68,1009,2,10.5,64.6,7100,6637.807542950224,213621.8673537089
69,69,1011,2,10.5,64.2,7025,6535.231526832558,239873.15730876705
70,70,1013,2,10.5,64.2,7125,6513.248772411426,374239.564456127
71,71,1012,3,10.5,62.8,6800,6501.238040929632,89258.70818756425
72,72,1011,4,10.5,63.2,6900,6848.750323012007,2626.5293913735827
73,73,1011,4,10.5,64.3,6975,7068.251708805967,8695.881195232807
74,74,1013,3,10.5,62.8,6550,6490.4181598894575,3549.995670958256
75,75,1011,3,10.5,62.2,6525,6393.525953868226,17285.4248062599
76,76,1007,3,10.5,61.6,6550,6317.793094151878,53920.0471235586
77,77,1013,3,10.5,63.8,6125,6688.686201150111,317742.1333670431
78,78,1022,4,11.5,45.8,6290,3349.772654633337,8644936.842441894
79,79,1030,6,11.5,65.35,6475,7360.9477860116485,784903.4795389418
80,80,1024,4,11.5,63.9,6475,6632.966754667789,24953.495580273517
81,81,1016,4,11.5,64.8,6475,6900.079336987587,180692.44273380685
82,82,1013,5,11.5,64.0,6475,7032.725770181362,311058.0347243938
