,cpress,w_force,draft_mean,rpm,speed_sog,pwr,t_2
0,1019.0,2,18.9,75.39,11.958333333333334,11273.0,2.7320680716609993
1,1018.0,4,18.39,73.8,11.76923076923077,8925.0,2.1625953633519694
2,1018.0,3,18.39,72.9,11.25,8750.0,1.7182030051049721
3,1018.0,2,18.39,73.3,11.291666666666666,9275.0,2.2731864883563557
4,1018.0,5,18.39,73.4,10.833333333333334,9275.0,2.299613537938954
5,1018.0,4,18.39,72.9,10.166666666666666,9100.0,2.5657980585401514
6,1018.0,4,18.39,73.4,11.125,9275.0,1.7878366529122522
7,1022.0,6,18.39,72.9,10.75,9800.0,3.212901343648226
8,1023.0,4,18.39,73.2,11.291666666666666,9100.0,2.2854187377179462
9,1023.0,2,18.39,73.0,11.5,9100.0,2.5237476193995585
10,1021.0,4,18.39,73.3,11.666666666666666,9275.0,2.290540873644035
11,1021.0,2,18.39,73.3,10.625,6475.0,2.617224309255737
12,1021.0,2,18.39,64.8,9.458333333333334,6475.0,2.268545337669738
13,1020.0,2,8.1,64.0,11.220657276995304,6300.0,1.9463708012039647
14,1021.0,3,18.385,64.3,10.277777777777777,6857.0,1.8627142065159752
15,1021.0,3,18.385,64.6,10.208333333333334,6863.0,1.7463769672779095
16,1021.0,3,18.385,64.68,10.25,7086.0,1.7555536045372502
17,1021.0,2,18.385,65.35,9.333333333333334,7358.0,2.503403461603101
18,1021.0,2,18.385,65.03,10.583333333333334,7333.0,2.031658633517275
19,1021.0,2,18.385,64.53,9.625,7408.0,2.0716286062199467
20,1021.0,2,18.385,64.82,9.666666666666666,7358.0,2.0478562074873032
21,1020.0,2,18.385,65.71,10.5,7408.0,1.786730030836757
22,1020.0,3,18.385,64.97,10.083333333333334,7259.0,1.5504287569025232
23,1020.0,3,18.385,65.79,10.125,7333.0,1.4531890829921057
24,1021.0,3,18.385,64.62,10.166666666666666,7333.0,1.7196564931957403
25,1021.0,3,18.385,65.8,10.166666666666666,7309.0,1.5322655055942855
26,1021.0,3,18.385,64.59,10.375,7185.0,1.876492261169865
27,1022.0,4,18.385,65.03,9.625,7234.0,2.14522996130044
28,1021.0,3,18.385,64.51,9.625,7185.0,1.8112988775249457
29,1016.0,4,18.35,65.68,9.958333333333334,7358.0,2.0312426765322997
30,1010.0,3,17.645,64.1,9.876543209876543,6374.0,3.3906146733662728
31,1012.0,3,17.645,64.7,11.166666666666666,6486.0,3.0095537322690937
32,1012.0,4,17.645,64.0,11.208333333333334,6329.0,3.458620600928277
33,1012.0,4,17.645,64.8,10.208333333333334,6757.0,2.7327056377617485
34,1016.0,5,17.645,64.1,9.625,6419.0,2.755797938411993
35,1024.0,2,17.645,65.1,10.0,6532.0,2.1836169023254963
36,1020.0,4,17.645,64.0,9.708333333333334,6059.0,1.9590880484997677
37,1014.0,5,15.3,79.71,12.916666666666666,11025.0,3.3038653151913313
38,1016.0,3,15.3,77.0,13.0,11025.0,2.8935483531903383
39,1018.0,3,15.3,76.8,11.5,10500.0,2.7377958500690465
40,1018.0,3,15.3,76.8,11.5,10500.0,2.7377958500690465
41,1020.0,3,15.3,76.0,12.166666666666666,11200.0,2.2153867130771094
42,1013.0,3,9.085,65.4,11.958333333333334,7000.0,1.7024124636292712
43,1013.0,3,9.085,64.3,11.416666666666666,6300.0,1.7248434991953026
44,1013.0,3,9.085,64.9,11.875,6650.0,1.7094724700219799
45,1014.0,3,9.085,64.1,11.478260869565217,6300.0,1.455785806087865
46,1013.0,5,9.085,65.3,12.166666666666666,6475.0,2.5019436881155457
47,1017.0,4,8.93,64.45,11.25,7358.0,1.0574425352157337
48,1018.0,4,8.93,63.9,11.208333333333334,7160.0,1.1441135910971003
49,1018.0,4,8.93,64.91,11.666666666666666,7383.0,1.1583104399962734
50,1018.0,2,8.93,64.13,12.375,7135.0,2.3873752780643005
51,1018.0,2,8.93,65.09,12.375,7309.0,2.1907509118052637
52,1018.0,2,8.93,64.29,11.916666666666666,7135.0,1.780225541635442
