,plsscore1,plsscore2,pwr,pred_pwr,diff,square_diff
52,3.1833255978734107,0.2979138133813701,11550,11677.528536202779,127.52853620277892,16263.527546023495
53,3.320894470037683,0.1935892836566244,11375,11797.967762329758,422.96776232975753,178901.72797024227
54,2.8304822337771323,0.09637455827570218,10500,11183.79190862687,683.7919086268703,467571.3743035781
55,2.9040781702787646,0.046960555982953005,11375,11250.744293884578,-124.25570611542207,15439.480502242139
56,3.187956695028951,0.20910804759069418,11375,11647.977853343376,272.9778533433764,74516.90841595792
57,3.231440602068357,0.32539643907759735,11375,11744.856258144948,369.8562581449478,136793.65168898227
58,3.0235704697425536,0.03677627497302518,11725,11387.047397407772,-337.9526025922278,114211.96159886025
59,3.2555115155918406,0.18227214894792676,11550,11716.73197384965,166.73197384964988,27799.55110380033
60,3.2468775404663903,0.19035489444169032,11550,11709.777940580676,159.77794058067593,25528.99029620201
61,3.088352027854781,-0.09610901018625949,11550,11410.762294342887,-139.2377056571131,19387.13867665687
62,2.7114377502350213,-0.15452397516225577,11200,10945.149951062278,-254.85004893772202,64948.547443559306
63,0.6525914759785527,-2.2361044517075217,6300,7707.391255389392,1407.3912553893924,1980750.14574653
64,-0.23092521206482977,-1.3655894175970416,6475,7012.884976350222,537.8849763502221,289320.24778327905
65,-0.44405466073180694,-1.395875029823351,6300,6750.682197460224,450.6821974602244,203114.44310757672
66,-0.4057342380271982,-1.3354857880361914,6300,6819.473449037387,519.4734490373867,269852.6642547984
67,-0.2132742212474096,-1.2255552852512814,6475,7088.784336806065,613.7843368060649,376731.21210846084
68,-0.34775564318755553,-1.3414122740533336,6475,6885.2206968057435,410.2206968057435,168281.02008778974
69,-0.34775564318755553,-1.3414122740533336,6475,6885.2206968057435,410.2206968057435,168281.02008778974
70,-0.3776604465338096,-1.397887057868952,6650,6827.853880870457,177.85388087045703,31632.002940682723
71,-0.3776604465338096,-1.397887057868952,6650,6827.853880870457,177.85388087045703,31632.002940682723
72,1.3954031181009803,1.0750954521234615,8925,9884.237440818693,959.2374408186934,920136.4678683962
73,1.211577076446642,0.957082203844788,8750,9621.880586318988,871.8805863189882,760175.7567999427
74,1.236249386303738,0.9581603335830984,9275,9651.27719356868,376.27719356867965,141584.52639992163
75,1.1252106587014425,0.8687078407389628,8925,9485.644668260835,560.6446682608348,314322.4440493015
76,1.370730808243884,1.0740173223851508,9275,9854.840833569002,579.8408335690019,336215.392273995
77,1.2510581055161405,0.9926475750347798,9100,9682.254274992187,582.2542749921868,339020.040746677
78,1.3312497791743856,1.0384519511951589,9275,9794.467144895803,519.4671448958034,269846.11462619755
79,1.3485445522772994,0.70855525425206,9800,9684.798920900974,-115.20107909902617,13271.288625580086
80,1.3223285954887896,0.5761013717776275,9100,9601.828582637341,501.82858263734124,251831.92635180283
81,1.2112898678864938,0.48664887893349185,9100,9436.196057329496,336.1960573294964,113027.78896389803
82,1.3291047359093566,0.7628737785910544,9275,9683.37252233687,408.3725223368692,166768.11699977674
83,1.2501426777703595,0.6917430362110707,6475,9562.625144990472,3087.625144990472,9533429.035977434
84,-0.11311577441980623,-0.08693135851537248,6475,7655.006356629004,1180.0063566290037,1392415.0016848554
85,-0.09767883602177332,-0.22197290315127954,6475,7619.928039064731,1144.928039064731,1310860.21463661
86,-0.46759913857709967,-1.5640832349735485,6300,6656.7619434850185,356.7619434850185,127279.08431920753
87,-0.2911774565289615,-1.4633136074207154,6475,6903.630257272973,428.6302572729728,183723.89744989487
88,-0.46945697328198066,-1.3692280826663568,6300,6731.351849915576,431.35184991557617,186064.41842558974
89,-0.0697282205100034,-1.1148798356448568,6650,7300.950706876437,650.9507068764369,423736.8227829329
90,-0.40930651232529236,-1.4133076020349649,6475,6784.617429710095,309.61742971009517,95862.95278028572
91,-0.20821252042005461,-1.3114598447438188,6650,7060.8823507477455,410.8823507477455,168824.30615599334
92,-0.47567717279069077,-1.378493386072316,6300,6720.397225406805,420.39722540680486,176733.8271297399
93,-0.19562112274645715,-1.205514886401187,6650,7117.4095237908505,467.40952379085047,218471.6629303896
94,-0.4361961437211923,-1.3429280148823242,6475,6780.770914080003,305.7709140800034,93495.85189732084
95,-0.2323288893652961,-1.135030871074663,6475,7102.075058688807,627.0750586888071,393223.12922957086
96,-0.49171550752234,-1.3876542613043918,6475,6697.954651426081,222.954651426081,49708.77659252528
97,-0.4590106188734098,-1.5388612969278277,6300,6676.784400399751,376.78440039975067,141966.48438459964
98,-0.39608689546606085,-1.4768914297799192,6300,6775.089203765427,475.08920376542665,225709.75153446707
99,-0.1539340699265064,-0.09789566506029423,6857,7602.755001198315,745.7550011983149,556150.5218122986
100,-0.9007728433002004,0.5068960155541682,6863,6964.051778520142,101.05177852014185,10211.461942083803
