,cpress,w_force,draft_mean,rpm,speed_sog,pwr,pred,lin_pred,diff,square,mahalanobi,f_critical
51,1022.0,3,8.06,64.86,11.428571428571429,7135.0,6972.873783120755,6972.896227288085,-162.12621687924457,26284.910199575846,1.6012811985341102,2.0893829116384093
52,1021.0,3,7.83,65.63,11.458333333333334,7358.0,7029.7313222190805,7029.744942808556,-328.26867778091946,107760.32481203313,1.534709759517225,2.002519200747161
53,1014.0,3,9.085,64.1,11.478260869565217,6300.0,6388.201981572236,6388.085747120824,88.20198157223604,7779.589553269066,1.1014731325564058,1.4372236075081593
54,1007.0,2,7.935,62.9,11.5,6081.0,6016.285398196003,6015.869062851177,-64.71460180399663,4187.979686649844,2.8588416345067684,3.7302722742807632
55,1009.0,2,7.935,63.9,11.541666666666666,6419.0,6108.552905803512,6108.205494433312,-310.44709419648825,96377.39829504325,2.4777195111938943,3.232976700944708
56,1018.0,4,7.995000000000001,65.5,11.541666666666666,6284.0,6816.446049802469,6816.4326179935,532.4460498024691,283498.79595025344,1.0485118396620614,1.3681186804953271
57,1009.0,2,7.935,64.1,11.625,6284.0,6118.878716086699,6118.52185533259,-165.12128391330134,27265.03840117707,2.4345175812172712,3.1766059808453346
58,1011.0,2,7.935,63.8,11.625,6081.0,6174.410090653771,6174.107899408592,93.41009065377057,8725.445035945635,2.026060284171481,2.6436429401484522
59,1018.0,4,8.93,64.91,11.666666666666666,7383.0,6759.055302480058,6759.0430649507625,-623.9446975199417,389306.9855632515,1.0011179936343138,1.3062782666455617
60,1021.0,4,18.39,73.3,11.666666666666666,9275.0,9516.227452694531,9516.436217014994,241.22745269453117,58190.68393349227,2.8724442390493716,3.7480212177587156
61,1018.0,3,8.155000000000001,64.0,11.666666666666666,6475.0,6583.738801403909,6583.662625674031,108.73880140390884,11824.126930758726,1.0705409279024536,1.396862664107066
62,1019.0,3,7.790000000000001,65.3,11.708333333333334,6475.0,6840.405154887585,6840.359392802268,365.405154887585,133520.92721842,1.1195929834183735,1.4608667420101382
63,1018.0,2,8.155000000000001,64.0,11.75,6300.0,6561.490136677372,6561.365800873044,261.490136677372,68377.09157955069,1.3645267212511871,1.7804610561006882
