,cpress,w_force,draft_mean,rpm,speed_sog,pwr
86,1021.0,2.0,18.385,64.53,9.625,7408.0
87,1021.0,2.0,18.385,64.82,9.666666666666666,7358.0
88,1021.0,2.0,18.385,65.03,10.583333333333334,7333.0
89,1020.0,3.0,18.385,64.97,10.083333333333334,7259.0
90,1020.0,3.0,18.385,65.79,10.125,7333.0
91,1021.0,3.0,18.385,64.62,10.166666666666666,7333.0
92,1021.0,3.0,18.385,65.8,10.166666666666666,7309.0
93,1021.0,3.0,18.385,64.59,10.375,7185.0
94,1022.0,4.0,18.385,65.03,9.625,7234.0
95,1021.0,3.0,18.385,64.51,9.625,7185.0
96,1020.0,2.0,18.385,65.71,10.5,7408.0
97,1018.0,4.0,18.39,73.8,11.76923076923077,8925.0
98,1018.0,3.0,18.39,72.9,11.25,8750.0
99,1018.0,2.0,18.39,73.3,11.291666666666666,9275.0
100,1018.0,0.0,18.39,73.1,11.291666666666666,8925.0
101,1018.0,5.0,18.39,73.4,10.833333333333334,9275.0
102,1018.0,4.0,18.39,72.9,10.166666666666666,9100.0
103,1023.0,2.0,18.39,73.0,11.5,9100.0
104,1023.0,4.0,18.39,73.2,11.291666666666666,9100.0
105,1021.0,4.0,18.39,73.3,11.666666666666666,9275.0
106,1021.0,2.0,18.39,73.3,10.625,6475.0
107,1021.0,2.0,18.39,64.8,9.458333333333334,6475.0
108,1023.0,5.0,18.39,64.1,9.0,6475.0
109,1018.0,4.0,18.39,73.4,11.125,9275.0
