,cpress,w_force,draft_mean,speed_ship_sog,rpm,pwr
125,1018,2,8.93,11.3,65.09,7309
126,1018,2,8.93,11.3,64.29,7135
127,1018,3,8.93,11.3,65.49,7383
128,1018,4,8.93,11.3,64.57,7209
129,1021,3,7.83,11.3,65.63,7358
130,1019,2,18.4,13.0,75.39,11273
131,1019,2,18.4,13.0,79.24,12734
132,1013,3,18.4,9.8,64.97,7655
133,1010,4,7.685,9.8,63.84,7056
134,1011,2,9.49,11.3,75.5,10628
135,1009,3,8.28,11.3,74.15,10182
136,1008,5,9.0,11.3,63.5,7200
137,1011,4,8.31,11.3,63.63,7061
138,1011,4,8.045,11.3,64.52,7408
139,1010,4,8.045,11.3,63.9,7011
140,1010,2,8.045,11.3,64.44,7135
141,1010,3,8.045,11.3,63.9,7011
142,1010,4,8.045,11.3,64.85,7333
143,1012,4,8.045,11.3,63.74,6986
144,1011,4,17.36,9.8,60.81,7432
145,1013,2,17.36,9.8,62.69,7284
146,1012,3,17.345,9.8,63.68,7432
147,1012,3,17.345,9.8,64.83,7507
148,1011,4,17.345,9.8,63.86,7110
149,1012,2,17.345,9.8,63.75,7160
150,1012,3,17.345,9.8,64.28,7160
151,1010,3,17.345,9.8,67.25,8101
152,1010,3,17.345,9.8,63.82,7036
153,1007,2,17.345,9.8,63.75,7110
154,1007,3,17.345,9.8,64.62,7482
155,1010,5,17.345,9.8,63.77,7432
156,1011,5,17.265,9.8,63.56,7309
157,1014,7,17.465,9.8,63.96,7829
158,1016,4,17.465,9.8,64.72,7829
159,1020,4,17.335,9.8,62.73,7309
160,1020,4,17.335,9.8,63.93,7309
161,1020,3,9.015,11.3,63.15,7036
162,1015,3,9.015,11.3,63.83,7036
163,1013,3,9.015,11.3,64.3,7383
164,1011,6,9.015,11.3,65.56,8077
165,1011,6,9.015,11.3,72.37,9588
166,1010,3,8.31,11.3,69.12,8696
167,1011,3,8.31,11.3,65.51,7705
168,1011,2,8.31,11.3,66.37,7854
169,1012,3,7.885,11.3,68.52,8101
170,1012,2,7.885,11.3,65.28,7482
171,1012,2,7.885,11.3,66.08,7804
172,1011,3,7.885,11.3,65.96,7730
173,1012,3,7.885,11.3,65.34,7532
174,1010,5,7.885,11.3,64.24,7284
175,1011,5,17.83,9.8,64.53,7615
176,1011,4,17.83,9.8,64.43,7383
177,1013,3,17.83,9.8,64.14,7185
178,1012,2,17.83,9.8,63.89,7086
179,1012,2,17.83,9.8,64.53,7383
180,1011,3,17.83,9.8,64.85,7432
181,1010,3,17.83,9.8,64.48,7432
182,1011,2,17.83,9.8,65.89,6912
183,1012,3,17.83,9.8,65.42,7432
184,1012,5,17.83,9.8,65.14,7383
185,1014,5,17.83,9.8,65.2,7457
186,1015,4,17.83,9.8,66.1,7457
187,1016,4,17.83,9.8,64.82,7383
188,1014,3,17.83,9.8,65.74,7432
189,1024,7,17.83,9.8,64.13,7482
190,1030,7,17.8,9.8,64.83,7680
191,1032,3,13.31,9.8,64.8,7399
192,1021,7,13.285,9.8,64.33,7408
193,1025,4,8.995,12.5,70.26,9030
194,1021,2,8.995,12.5,72.52,10455
195,1017,4,8.995,12.5,71.84,10405
196,1012,4,8.995,12.5,72.16,10381
197,1008,5,8.995,12.5,74.18,11223
198,1008,3,8.995,12.5,76.78,12363
199,1008,3,8.995,12.5,70.64,9935
200,1008,2,8.995,12.5,72.33,10158
