,Unnamed: 0,cpress,w_force,speed_ship_sog,rpm,pwr,pred,square_diff
75,75,1011,3,10.5,62.2,6525,6407.695382370469,13760.373317210497
76,76,1007,3,10.5,61.6,6550,6349.208577618604,40317.19530194415
77,77,1013,3,10.5,63.8,6125,6688.217810108407,317214.30162330996
78,78,1022,4,11.5,45.8,6290,3163.1167654589135,9777398.762454128
79,79,1030,6,11.5,65.35,6475,7367.245065172007,796101.2563237996
80,80,1024,4,11.5,63.9,6475,6632.949899714638,24948.17081986432
81,81,1016,4,11.5,64.8,6475,6921.888561949538,199709.38680132577
82,82,1013,5,11.5,64.0,6475,7080.4987138186925,366628.6924360909
83,83,1010,4,11.5,63.8,6475,6814.8291990246635,115483.88450974433
84,84,1011,3,11.5,65.7,6475,6897.583825938663,178577.08994495808
85,85,1012,4,11.5,64.7,6475,6960.047536183062,235271.11235725906
86,86,1026,6,10.5,78.6,12800,10172.478347644892,6903870.0335949175
87,87,1020,6,11.5,75.5,10875,9472.874703651876,1965955.3466593141
88,88,1014,5,11.5,76.7,11575,9520.929467539883,4219205.752320987
89,89,1014,4,11.5,68.8,9500,7723.7988588479375,3154890.493829889
90,90,1013,3,11.5,69.2,8550,7545.3602138210745,1009301.0999736373
91,91,1012,3,11.5,61.0,6050,5974.741470968371,5663.846192004578
92,92,1018,3,11.5,61.7,6125,6023.813366502012,10238.734798656089
93,93,1024,4,11.5,60.8,5675,6033.746070005236,128698.74274420177
94,94,1014,3,11.5,66.1,7000,6931.784351604021,4653.374686083814
95,95,1016,3,11.5,71.9,8400,8024.131322819217,141277.26248563195
96,96,1016,3,11.5,65.6,6475,6806.394507603333,109822.31966965573
97,97,1018,4,11.5,65.4,8575,7009.119431716704,2451981.954127219
98,98,1016,5,11.5,71.2,8925,8429.08183368532,245934.8276809138
99,99,1014,5,11.5,65.0,7875,7259.418239281817,378940.90412889887
100,100,1016,3,11.5,65.3,6650,6748.4070402121015,9683.94556330616
101,101,1014,3,11.5,64.7,6475,6661.176170444937,34661.56644154233
102,102,1016,3,11.5,63.8,6300,6458.469703255939,25112.646850025314
103,103,1014,3,11.5,65.2,6650,6757.821949430325,11625.572778955522
104,104,1015,3,11.5,64.93,6650,6691.261196270567,1702.4863176782414
105,105,1015,3,11.5,63.84,6125,6480.573398082421,126432.4414238796
106,106,1015,3,11.5,64.93,6825,6691.261196270567,17886.067622979837
107,107,1015,3,11.5,64.93,6825,6691.261196270567,17886.067622979837
